City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nizwa,OM,90.03,few clouds,22.9333,57.5333,Orient Apartments
1,Hermanus,ZA,55.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
3,Cape Town,ZA,56.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Mar Del Plata,AR,53.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
5,Asosa,ET,59.99,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
6,Castro,BR,62.11,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
7,Edson,CA,75.34,few clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
10,Rognan,NO,53.89,overcast clouds,67.0953,15.3878,Rognan Hotell
12,Palmer,US,83.03,scattered clouds,42.1584,-72.3287,Wedgewood Motel
14,Nikolskoye,RU,60.03,scattered clouds,59.7035,30.7861,Tourist House - Sablino
17,San Quintin,MX,75.76,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
19,Harper,LR,76.26,scattered clouds,4.375,-7.7169,Screensaver
20,Eureka,US,73.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
22,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Rikitea,PF,74.64,clear sky,-23.1203,-134.9692,People ThankYou
25,Port Alfred,ZA,59.5,clear sky,-33.5906,26.891,The Halyards Hotel
28,Jamestown,US,76.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
30,Hami,CN,78.71,overcast clouds,42.8,93.45,Laoyutang Resort
31,Atuona,PF,77.92,scattered clouds,-9.8,-139.0333,Villa Enata
32,Airai,TL,57.34,scattered clouds,-8.9266,125.4092,Juvinal Martin
35,North Bend,US,71.17,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
36,Altay,CN,59.41,overcast clouds,47.8667,88.1167,Jinqiao Hotel
37,Jalalabad,AF,82.22,clear sky,34.4265,70.4515,انصاف چهاردهي هوټل
