City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Nizwa,OM,22.9333,57.5333,90.03,40,14,2.64,few clouds,0.0,0
1,Hermanus,ZA,-34.4187,19.2345,55.9,80,22,6.96,few clouds,0.0,0
2,Bambous Virieux,MU,-20.3428,57.7575,68.25,68,40,12.66,light rain,0.13,0
3,Cape Town,ZA,-33.9258,18.4232,56.12,87,0,2.3,clear sky,0.0,0
4,Mar Del Plata,AR,-38.0023,-57.5575,53.62,87,0,10.36,clear sky,0.0,0
5,Asosa,ET,10.0667,34.5333,59.99,95,100,1.32,overcast clouds,0.0,0
6,Castro,BR,-24.7911,-50.0119,62.11,77,25,1.45,scattered clouds,0.0,0
7,Edson,CA,53.5835,-116.4356,75.34,46,20,4.61,few clouds,0.0,0
8,Bluff,NZ,-46.6,168.3333,52.81,67,99,20.15,overcast clouds,0.0,0
9,Pevek,RU,69.7008,170.3133,32.7,97,100,4.25,overcast clouds,0.0,0
10,Rognan,NO,67.0953,15.3878,53.89,86,87,2.21,overcast clouds,0.0,0
11,Bubaque,GW,11.2833,-15.8333,78.17,82,100,8.84,moderate rain,1.68,0
12,Palmer,US,42.1584,-72.3287,83.03,43,40,1.01,scattered clouds,0.0,0
13,Dingle,PH,10.9995,122.6711,75.58,88,67,4.45,light rain,0.15,0
14,Nikolskoye,RU,59.7035,30.7861,60.03,78,27,10.22,scattered clouds,0.0,0
15,Turukhansk,RU,65.8167,87.9833,53.4,94,90,7.54,overcast clouds,0.0,0
16,Mataura,NZ,-46.1927,168.8643,52.48,83,100,5.1,overcast clouds,0.0,0
17,San Quintin,MX,30.4833,-115.95,75.76,71,4,12.08,clear sky,0.0,0
18,Meybod,IR,32.2501,54.0166,91.42,12,4,5.17,clear sky,0.0,0
19,Harper,LR,4.375,-7.7169,76.26,72,27,9.15,scattered clouds,0.0,0
20,Eureka,US,40.8021,-124.1637,73.2,77,68,8.99,broken clouds,0.0,0
21,Busselton,AU,-33.65,115.3333,53.04,72,0,10.54,clear sky,0.0,0
22,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,85,5.01,overcast clouds,0.0,0
23,Rikitea,PF,-23.1203,-134.9692,74.64,74,0,12.39,clear sky,0.0,0
24,Ilulissat,GL,69.2167,-51.1,43.5,86,100,7.54,overcast clouds,0.0,0
25,Port Alfred,ZA,-33.5906,26.891,59.5,75,0,13.11,clear sky,0.0,0
26,Tasiilaq,GL,65.6145,-37.6368,49.23,69,86,6.78,overcast clouds,0.0,0
27,Punta Arenas,CL,-53.15,-70.9167,41.11,93,75,6.91,broken clouds,0.0,0
28,Jamestown,US,42.097,-79.2353,76.32,49,1,6.91,clear sky,0.0,0
29,Saskylakh,RU,71.9167,114.0833,46.24,74,61,7.07,broken clouds,0.0,0
30,Hami,CN,42.8,93.45,78.71,35,100,7.54,overcast clouds,0.0,0
31,Atuona,PF,-9.8,-139.0333,77.92,69,40,17.47,scattered clouds,0.0,0
32,Airai,TL,-8.9266,125.4092,57.34,87,25,3.49,scattered clouds,0.0,0
33,Dikson,RU,73.5069,80.5464,45.19,100,100,11.39,light rain,0.13,0
34,Narsaq,GL,60.9167,-46.05,51.21,97,97,3.78,moderate rain,1.01,0
35,North Bend,US,43.4065,-124.2243,71.17,73,40,9.22,scattered clouds,0.0,0
36,Altay,CN,47.8667,88.1167,59.41,63,90,3.29,overcast clouds,0.0,0
37,Jalalabad,AF,34.4265,70.4515,82.22,55,4,3.56,clear sky,0.0,0
38,Nuuk,GL,64.1835,-51.7216,47.12,98,100,9.24,light rain,0.87,0
39,Jumla,NP,29.2747,82.1838,57.51,91,100,2.75,overcast clouds,0.0,0
40,Gornyak,RU,50.9942,81.4661,52.79,90,1,3.33,clear sky,0.0,0
41,Chuy,UY,-33.6971,-53.4616,56.28,94,38,4.34,scattered clouds,0.0,0
42,New Norfolk,AU,-42.7826,147.0587,40.5,83,100,1.01,light rain,0.18,0
43,Rio Grande,BR,-32.035,-52.0986,59.11,83,4,5.44,clear sky,0.0,0
44,Provideniya,RU,64.3833,-173.3,46.51,76,90,13.42,moderate rain,1.64,0
45,Ribeira Grande,PT,38.5167,-28.7,75.6,73,40,0.0,scattered clouds,0.0,0
46,Verkhnyaya Inta,RU,65.9811,60.3094,55.94,69,97,8.34,overcast clouds,0.0,0
47,Lebu,CL,-37.6167,-73.65,49.98,91,100,24.4,light rain,0.49,0
48,Vysokogornyy,RU,50.1167,139.15,57.9,91,13,2.17,few clouds,0.0,0
49,Hilo,US,19.7297,-155.09,80.33,79,90,11.5,overcast clouds,0.0,0
50,Vaini,TO,-21.2,-175.2,69.96,73,75,8.05,broken clouds,0.0,0
51,Tchaourou,BJ,8.8865,2.5975,74.25,85,92,4.92,overcast clouds,0.0,0
52,Grimshaw,CA,56.1834,-117.6027,71.22,60,90,12.66,overcast clouds,0.0,0
53,Guia De Isora,ES,28.2115,-16.7795,84.52,33,41,5.84,scattered clouds,0.0,0
54,Piacenza,IT,45.0468,9.6994,86.41,54,0,5.57,clear sky,0.0,0
55,Perth,AU,-31.9333,115.8333,59.18,53,0,20.71,clear sky,0.0,0
56,Kenai,US,60.5544,-151.2583,65.03,55,1,11.5,clear sky,0.0,0
57,Taga,RO,46.95,24.05,70.29,52,0,2.48,clear sky,0.0,0
58,Hobart,AU,-42.8794,147.3294,40.86,89,75,17.27,light intensity shower rain,0.13,0
59,Ginda,IN,30.6945,78.4932,61.48,82,0,5.41,clear sky,0.0,0
60,Berbera,SO,10.4396,45.0143,91.58,38,69,18.45,broken clouds,0.0,0
61,Soligalich,RU,59.0778,42.2864,61.07,95,100,9.31,moderate rain,1.15,0
62,Morondava,MG,-20.2833,44.2833,67.19,69,0,7.23,clear sky,0.0,0
63,Gat,IL,31.61,34.7642,81.28,100,0,3.67,clear sky,0.0,0
