City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,2021-08-13 02:13:45,-21.2078,-159.775,66.25,88,75,19.57
1,New Norfolk,AU,2021-08-13 02:09:18,-42.7826,147.0587,56.71,65,91,5.01
2,Nuuk,GL,2021-08-13 02:15:14,64.1835,-51.7216,52.41,66,75,12.66
3,San Patricio,US,2021-08-13 02:14:20,28.017,-97.5169,85.91,67,57,11.9
4,Robertsport,LR,2021-08-13 02:17:45,6.7533,-11.3686,77.04,88,100,13.4
5,Chuy,UY,2021-08-13 02:13:48,-33.6971,-53.4616,43.56,87,0,5.14
6,Albany,US,2021-08-13 02:12:38,42.6001,-73.9662,75.31,93,82,10.38
7,Geraldton,AU,2021-08-13 02:14:16,-28.7667,114.6,54.01,71,0,16.11
8,Ilulissat,GL,2021-08-13 02:14:13,69.2167,-51.1,48.22,57,20,6.91
9,Te Anau,NZ,2021-08-13 02:14:59,-45.4167,167.7167,48.69,77,52,3.83
10,Kaitangata,NZ,2021-08-13 02:13:59,-46.2817,169.8464,52.72,63,6,7.31
11,Butaritari,KI,2021-08-13 02:14:06,3.0707,172.7902,81.93,77,35,7.31
12,Ostrovnoy,RU,2021-08-13 02:16:20,68.0531,39.5131,60.58,70,100,2.89
13,Sur,OM,2021-08-13 02:14:29,22.5667,59.5289,86.09,65,95,4.85
14,Saint-Philippe,RE,2021-08-13 02:13:40,-21.3585,55.7679,69.35,82,40,8.12
15,Hofn,IS,2021-08-13 02:15:35,64.2539,-15.2082,53.1,87,100,13.42
16,Touros,BR,2021-08-13 02:13:56,-5.1989,-35.4608,72.5,80,2,13.4
17,Arraial Do Cabo,BR,2021-08-13 02:14:01,-22.9661,-42.0278,68.79,84,100,17.45
18,Port-Gentil,GA,2021-08-13 02:17:46,-0.7193,8.7815,76.86,78,40,10.02
19,Busselton,AU,2021-08-13 02:13:37,-33.65,115.3333,56.05,75,100,6.58
20,Mahebourg,MU,2021-08-13 02:14:46,-20.4081,57.7,71.26,82,22,12.68
21,Cape Town,ZA,2021-08-13 02:12:28,-33.9258,18.4232,52.12,76,0,1.01
22,Pombas,CV,2021-08-13 02:17:47,17.1503,-25.0201,74.98,81,21,13.78
23,Rikitea,PF,2021-08-13 02:13:43,-23.1203,-134.9692,74.62,83,6,14.43
24,Bacolod,PH,2021-08-13 02:17:47,10.6667,122.95,85.87,69,44,3.65
25,Sao Joao Da Barra,BR,2021-08-13 02:13:50,-21.6403,-41.0511,69.19,88,57,9.69
26,Baykit,RU,2021-08-13 02:16:09,61.67,96.37,66.56,67,98,3.58
27,Port Alfred,ZA,2021-08-13 02:13:54,-33.5906,26.891,53.58,69,68,10.56
28,Hervey Bay,AU,2021-08-13 02:17:48,-25.2986,152.8535,73.51,62,0,1.48
29,Vila Velha,BR,2021-08-13 02:14:12,-20.3297,-40.2925,69.75,88,75,2.3
30,Port Hardy,CA,2021-08-13 02:16:36,50.6996,-127.4199,77.18,57,20,3.44
31,Torbay,CA,2021-08-13 02:14:25,47.6666,-52.7314,59.58,87,100,7.99
32,Mahajanga,MG,2021-08-13 02:17:49,-15.7167,46.3167,66.22,94,20,3.44
33,Ternate,ID,2021-08-13 02:17:49,0.8,127.4,83.34,71,25,3.31
34,Tura,IN,2021-08-13 02:14:28,25.5198,90.2201,74.98,96,100,7.74
35,Dikson,RU,2021-08-13 02:14:32,73.5069,80.5464,44.73,99,98,11.5
36,Kencong,ID,2021-08-13 02:17:50,-8.2833,113.3667,81.34,73,78,2.46
37,East London,ZA,2021-08-13 02:14:39,-33.0153,27.9116,56.52,62,98,12.57
38,Caravelas,BR,2021-08-13 02:14:23,-17.7125,-39.2481,68.9,90,18,4.5
39,Banamba,ML,2021-08-13 02:17:12,13.55,-7.45,76.82,82,98,6.8
40,Gizo,SB,2021-08-13 02:17:50,-8.103,156.8419,82.94,72,100,8.97
41,Bluff,NZ,2021-08-13 02:13:45,-46.6,168.3333,52.81,72,15,16.02
42,Naron,ES,2021-08-13 02:17:51,43.5167,-8.1528,65.01,93,8,4.92
43,Tasiilaq,GL,2021-08-13 02:13:37,65.6145,-37.6368,46.56,71,100,3.69
44,Yellowknife,CA,2021-08-13 02:14:13,62.456,-114.3525,60.06,61,56,8.39
45,Leningradskiy,RU,2021-08-13 02:13:37,69.3833,178.4167,53.01,53,100,3.96
46,Chabahar,IR,2021-08-13 02:17:51,25.2919,60.643,79.59,84,38,9.71
47,Vaini,TO,2021-08-13 02:13:40,-21.2,-175.2,73.56,78,40,12.66
48,Klaksvik,FO,2021-08-13 02:13:33,62.2266,-6.589,54.52,92,98,14.56
49,Upernavik,GL,2021-08-13 02:13:55,72.7868,-56.1549,43.27,87,100,10.83
50,Axim,GH,2021-08-13 02:17:52,4.8699,-2.2405,75.79,83,97,8.68
51,Atuona,PF,2021-08-13 02:13:43,-9.8,-139.0333,77.13,72,75,11.74
52,Punta Arenas,CL,2021-08-13 02:13:43,-53.15,-70.9167,45.97,81,94,24.87
53,Westport,US,2021-08-13 02:14:36,41.1415,-73.3579,84.34,80,1,3.0
54,Kahului,US,2021-08-13 02:14:39,20.8947,-156.47,85.26,69,1,21.85
55,Kapaa,US,2021-08-13 02:14:07,22.0752,-159.319,85.98,70,40,3.0
